dimension,calendardate,datekey,reportperiod,fiscalperiod,workingcapital,marketcap,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps
MRQ,2009-12-31,2009-12-31,2009-12-31,2009-Q4,43070000.000000,,2025-04-30,0.000000,130424000.000000,,100559000.000000,29865000.000000,,-2.368000,-6199000.000000,73207000.000000,73207000.000000,16804000.000000,-24242000.000000,1.749000,-0.255000,1090000.000000,290000.000000,800000.000000,1090000.000000,2617000.000000,1935000.000000,26048000.000000,,0.000000,-23988000.000000,-22053000.000000,-1.187000,-22053000.000000,-23988000.000000,-24013000.000000,-0.229000,-0.229000,-0.229000,-253523000.000000,,-253523000.000000,,,,-35206000.000000,-0.329000,1.000000,1781000.000000,0.096000,0.000000,25000.000000,818000.000000,,23222000.000000,0.000000,0.000000,0.000000,64722000.000000,57489000.000000,7233000.000000,-36920000.000000,0.000000,379000.000000,-47000.000000,0.000000,-1714000.000000,-6199000.000000,0.000000,-29007000.000000,0.000000,-24242000.000000,-24242000.000000,-24242000.000000,0.000000,0.000000,-1.304000,24706000.000000,-22925000.000000,15086000.000000,0.000000,,,,23535000.000000,0.000000,,,,3488000.000000,-260654000.000000,18585000.000000,18585000.000000,8143000.000000,,,,,985000.000000,16563000.000000,1.000000,1397969070.000000,107054070.000000,107054070.000000,0.174000,130424000.000000,0.000000,229000.000000,0.000000,1.218000
MRQ,2010-03-31,2010-03-31,2010-03-31,2010-Q1,41497000.000000,,2025-04-30,0.000000,145320000.000000,,100602000.000000,44718000.000000,,-2.550000,-5472000.000000,69033000.000000,69033000.000000,16960000.000000,-29519000.000000,1.702000,-0.377000,30932000.000000,293000.000000,30639000.000000,30932000.000000,8138000.000000,2141000.000000,25989000.000000,,0.000000,-29171000.000000,-27030000.000000,-1.299000,-27030000.000000,-29171000.000000,-29401000.000000,-0.269000,-0.269000,-0.269000,-279297000.000000,,-279297000.000000,,,,-32801000.000000,-0.299000,1.000000,3852000.000000,0.185000,0.000000,230000.000000,48114000.000000,,28588000.000000,0.000000,0.000000,0.000000,105392000.000000,59105000.000000,46287000.000000,-8081000.000000,0.000000,358000.000000,29843000.000000,0.000000,28627000.000000,-9379000.000000,0.000000,-27329000.000000,0.000000,-29519000.000000,-29519000.000000,-29519000.000000,0.000000,0.000000,-1.418000,29850000.000000,-25998000.000000,18190000.000000,0.000000,,,,26866000.000000,0.000000,,,,5931000.000000,-290173000.000000,20812000.000000,20812000.000000,13265000.000000,,,,,3387000.000000,16585000.000000,1.000000,1397969070.000000,109529100.000000,109529100.000000,0.190000,145320000.000000,0.000000,118000.000000,0.000000,1.327000
MRQ,2010-06-30,2010-06-30,2010-06-30,2010-Q2,21400000.000000,2220906863.000000,2025-04-30,0.000000,147974000.000000,,90034000.000000,57940000.000000,,-2.702000,-9815000.000000,52665000.000000,52665000.000000,22144000.000000,-38517000.000000,1.312000,-0.447000,46354000.000000,296000.000000,46058000.000000,46354000.000000,10215000.000000,2483000.000000,26246000.000000,0.000000,0.000000,-38044000.000000,-35561000.000000,-1.252000,-35561000.000000,-38044000.000000,-38508000.000000,-0.336000,-0.336000,-0.336000,-309775000.000000,,-309775000.000000,2182805863.000000,-23.000000,-24.943000,-30062000.000000,-0.262000,1.000000,6261000.000000,0.220000,0.000000,464000.000000,73029000.000000,,29518000.000000,0.000000,0.000000,0.000000,138524000.000000,68634000.000000,69890000.000000,-14242000.000000,0.000000,222000.000000,15421000.000000,0.000000,13694000.000000,-7689000.000000,0.000000,-20247000.000000,0.000000,-38517000.000000,-38517000.000000,-38517000.000000,0.000000,0.000000,-1.356000,37623000.000000,-31362000.000000,25634000.000000,0.000000,-7.169000,-22.921000,-1.809000,33156000.000000,0.000000,1.589000,19.597000,1.607000,6467000.000000,-328689000.000000,28405000.000000,28405000.000000,15416000.000000,,,,,6115000.000000,22207000.000000,1.000000,1397969070.000000,114651975.000000,114651975.000000,0.248000,147974000.000000,0.000000,9000.000000,0.000000,1.291000
MRQ,2010-09-30,2010-09-30,2010-09-30,2010-Q3,171805000.000000,1901703925.000000,2025-04-30,0.000000,361621000.000000,,241133000.000000,120488000.000000,,0.159000,-66478000.000000,242185000.000000,242185000.000000,21945000.000000,-34935000.000000,3.478000,0.644000,57414000.000000,291000.000000,57123000.000000,57414000.000000,5991000.000000,3109000.000000,27869000.000000,0.000000,0.000000,-34554000.000000,-31445000.000000,-1.007000,-31445000.000000,-34554000.000000,-34852000.000000,-0.025000,-0.025000,-0.025000,219923000.000000,,219923000.000000,1895392925.000000,-15.000000,-16.327000,-112435000.000000,-0.081000,1.000000,9296000.000000,0.298000,0.000000,298000.000000,107522000.000000,,39508000.000000,0.000000,0.000000,0.000000,141698000.000000,69328000.000000,72370000.000000,49259000.000000,0.000000,239003000.000000,11060000.000000,0.000000,249895000.000000,-154679000.000000,0.000000,-45957000.000000,0.000000,-34935000.000000,-34935000.000000,-34935000.000000,0.000000,0.000000,-1.118000,47130000.000000,-37834000.000000,26990000.000000,0.000000,8.647000,-14.949000,-1.584000,42896000.000000,0.000000,1.360000,19.201000,19.010000,8062000.000000,-363624000.000000,31241000.000000,31241000.000000,26698000.000000,,,,,3811000.000000,20432000.000000,1.000000,1397969070.000000,1384060815.000000,1384060815.000000,0.023000,361621000.000000,0.000000,83000.000000,0.000000,0.261000
MRQ,2010-12-31,2010-12-31,2010-12-31,2010-Q4,150321000.000000,2483798768.000000,2025-04-30,0.000000,386082000.000000,,235886000.000000,150196000.000000,,0.272000,-23648000.000000,178022000.000000,178022000.000000,24965000.000000,-51358000.000000,2.757000,0.865000,72603000.000000,279000.000000,72324000.000000,72603000.000000,7418000.000000,2890000.000000,30755000.000000,0.000000,0.000000,-51395000.000000,-48505000.000000,-1.337000,-48505000.000000,-51395000.000000,-51395000.000000,-0.012000,-0.012000,-0.012000,207048000.000000,,207048000.000000,2299027768.000000,-15.000000,-16.129000,-57932000.000000,-0.076000,1.000000,11321000.000000,0.312000,0.000000,0.000000,195098000.000000,,45182000.000000,0.000000,0.000000,0.000000,179034000.000000,85565000.000000,93469000.000000,2995000.000000,0.000000,30609000.000000,15189000.000000,0.000000,45829000.000000,-8550000.000000,0.000000,-34284000.000000,0.000000,-51358000.000000,-51358000.000000,-51358000.000000,0.000000,0.000000,-1.415000,62966000.000000,-51645000.000000,28951000.000000,0.000000,11.996000,-16.094000,-8.745000,122599000.000000,0.000000,1.775000,21.276000,11.569000,6710000.000000,-414982000.000000,36286000.000000,36286000.000000,37617000.000000,,,,,7769000.000000,25349000.000000,1.000000,1399060515.000000,760774530.000000,760774530.000000,0.048000,386082000.000000,0.000000,-37000.000000,0.000000,0.507000
MRQ,2011-03-31,2011-03-31,2011-03-31,2011-Q1,113930000.000000,2645556545.000000,2025-04-30,0.000000,407289000.000000,,226906000.000000,180383000.000000,,0.117000,-20476000.000000,148532000.000000,148532000.000000,31002000.000000,-48941000.000000,2.008000,1.428000,103180000.000000,275000.000000,102905000.000000,103180000.000000,6909000.000000,3517000.000000,39412000.000000,0.000000,0.000000,-48791000.000000,-45274000.000000,-0.923000,-45274000.000000,-48791000.000000,-48791000.000000,-0.034000,-0.034000,-0.034000,167738000.000000,,167738000.000000,2540137545.000000,-15.000000,-15.798000,-63773000.000000,-0.045000,1.000000,18028000.000000,0.368000,0.000000,0.000000,248961000.000000,,50823000.000000,0.000000,0.000000,0.000000,239551000.000000,112976000.000000,126575000.000000,1097000.000000,0.000000,3706000.000000,30577000.000000,0.000000,34283000.000000,10111000.000000,0.000000,-43297000.000000,0.000000,-48941000.000000,-48941000.000000,-48941000.000000,0.000000,0.000000,-0.998000,65374000.000000,-47346000.000000,49660000.000000,0.000000,15.772000,-15.226000,-4.545000,152513000.000000,0.000000,1.850000,18.250000,18.222000,20260000.000000,-463922000.000000,49030000.000000,49030000.000000,41162000.000000,,,,,5926000.000000,24212000.000000,1.000000,1430030565.000000,1427810175.000000,1427810175.000000,0.034000,407289000.000000,0.000000,150000.000000,0.000000,0.285000
MRQ,2011-06-30,2011-06-30,2011-06-30,2011-Q2,279022000.000000,2995753669.000000,2025-04-30,0.000000,646155000.000000,,417758000.000000,228397000.000000,,0.238000,-54314000.000000,336064000.000000,336064000.000000,39663000.000000,-58903000.000000,3.011000,0.854000,134823000.000000,287000.000000,134536000.000000,134823000.000000,6295000.000000,4318000.000000,53187000.000000,0.000000,0.000000,-58764000.000000,-54446000.000000,-0.936000,-54446000.000000,-58764000.000000,-58764000.000000,-0.040000,-0.040000,-0.040000,348452000.000000,,348452000.000000,2950401669.000000,-15.000000,-16.421000,-76802000.000000,-0.052000,1.000000,18508000.000000,0.318000,0.000000,0.000000,306178000.000000,,54312000.000000,0.000000,0.000000,0.000000,297703000.000000,138736000.000000,158967000.000000,218725000.000000,0.000000,232692000.000000,31643000.000000,0.000000,264335000.000000,-23122000.000000,0.000000,-22488000.000000,0.000000,-58903000.000000,-58903000.000000,-58903000.000000,0.000000,0.000000,-1.013000,77247000.000000,-58739000.000000,57199000.000000,0.000000,8.597000,-15.431000,-17.495000,200180000.000000,0.000000,1.942000,17.145000,16.298000,23308000.000000,-522826000.000000,58171000.000000,58171000.000000,52531000.000000,,,,,6926000.000000,24716000.000000,1.000000,1542612600.000000,1466358990.000000,1466358990.000000,0.040000,646155000.000000,0.000000,139000.000000,0.000000,0.441000
MRQ,2011-09-30,2011-09-30,2011-09-30,2011-Q3,257940000.000000,2537005703.000000,2025-04-30,-24000.000000,700250000.000000,,412121000.000000,288129000.000000,,0.188000,-68844000.000000,274387000.000000,274387000.000000,40442000.000000,-65078000.000000,2.673000,1.381000,226049000.000000,388000.000000,225661000.000000,226049000.000000,5802000.000000,4280000.000000,65215000.000000,0.000000,0.000000,-64991000.000000,-60711000.000000,-1.053000,-60711000.000000,-64991000.000000,-64991000.000000,-0.042000,-0.042000,-0.042000,294118000.000000,,294118000.000000,2335764703.000000,-10.000000,-11.179000,-90335000.000000,-0.058000,1.000000,17224000.000000,0.299000,0.000000,0.000000,497731000.000000,,49216000.000000,65060000.000000,65060000.000000,0.000000,406132000.000000,154181000.000000,251951000.000000,-106052000.000000,0.000000,2882000.000000,90727000.000000,0.000000,93609000.000000,-178170000.000000,-64952000.000000,-21491000.000000,0.000000,-65078000.000000,-65078000.000000,-65078000.000000,0.000000,0.000000,-1.129000,81701000.000000,-64477000.000000,53627000.000000,0.000000,8.626000,-11.312000,-12.703000,259794000.000000,0.000000,1.626000,12.612000,12.619000,18250000.000000,-587903000.000000,57666000.000000,57666000.000000,54083000.000000,,,,,7885000.000000,27618000.000000,1.000000,1560274110.000000,1561152450.000000,1561152450.000000,0.037000,700250000.000000,0.000000,87000.000000,0.000000,0.449000
MRQ,2011-12-31,2011-12-31,2011-12-31,2011-Q4,181499000.000000,2978768987.000000,2025-04-30,-3000.000000,713448000.000000,,372838000.000000,340610000.000000,,0.143000,-40592000.000000,286810000.000000,286810000.000000,31540000.000000,-81489000.000000,1.949000,2.184000,280148000.000000,8983000.000000,271165000.000000,280148000.000000,5491000.000000,4804000.000000,91761000.000000,0.000000,0.000000,-81334000.000000,-76530000.000000,-1.944000,-76530000.000000,-81334000.000000,-81377000.000000,-0.052000,-0.052000,-0.052000,224045000.000000,,224045000.000000,2930430987.000000,-12.000000,-12.367000,-81350000.000000,-0.052000,1.000000,7835000.000000,0.199000,0.000000,43000.000000,515447000.000000,,50082000.000000,25061000.000000,25061000.000000,0.000000,489403000.000000,191339000.000000,298064000.000000,41938000.000000,0.000000,2713000.000000,51060000.000000,0.000000,53773000.000000,28923000.000000,40000000.000000,-40758000.000000,0.000000,-81489000.000000,-81489000.000000,-81489000.000000,0.000000,0.000000,-2.070000,88762000.000000,-80927000.000000,56141000.000000,0.000000,13.295000,-11.708000,-11.266000,310171000.000000,0.000000,1.904000,14.585000,14.038000,9539000.000000,-669392000.000000,39375000.000000,39375000.000000,61205000.000000,,,,,8682000.000000,27557000.000000,1.000000,1564479510.000000,1566541995.000000,1566541995.000000,0.025000,713448000.000000,0.000000,112000.000000,0.000000,0.455000
MRQ,2012-03-31,2012-03-31,2012-03-31,2012-Q1,123175000.000000,3895454599.000000,2025-04-30,-6000.000000,761100000.000000,,358897000.000000,402203000.000000,,0.098000,-54774000.000000,261574000.000000,261574000.000000,19957000.000000,-89873000.000000,1.523000,3.946000,365908000.000000,21864000.000000,344044000.000000,365908000.000000,5666000.000000,4163000.000000,113318000.000000,0.000000,0.000000,-89749000.000000,-85586000.000000,-2.837000,-85586000.000000,-89749000.000000,-89814000.000000,-0.057000,-0.057000,-0.057000,153874000.000000,,153874000.000000,3888792599.000000,-13.000000,-14.025000,-118074000.000000,-0.075000,1.000000,10210000.000000,0.338000,0.000000,65000.000000,629712000.000000,,55427000.000000,25009000.000000,25009000.000000,0.000000,607226000.000000,235722000.000000,371504000.000000,-36696000.000000,0.000000,8993000.000000,83838000.000000,0.000000,92831000.000000,-66227000.000000,8000.000000,-63300000.000000,0.000000,-89873000.000000,-89873000.000000,-89873000.000000,0.000000,0.000000,-2.979000,98973000.000000,-88763000.000000,64333000.000000,0.000000,25.316000,-13.190000,-12.998000,376174000.000000,0.000000,2.483000,21.013000,21.050000,13589000.000000,-759265000.000000,30167000.000000,30167000.000000,68391000.000000,,,,,10711000.000000,30582000.000000,1.000000,1569060660.000000,1571765145.000000,1571765145.000000,0.019000,761100000.000000,0.000000,59000.000000,0.000000,0.484000
MRQ,2012-06-30,2012-06-30,2012-06-30,2012-Q2,30600000.000000,3292158576.000000,2025-04-30,0.000000,776869000.000000,,317126000.000000,459743000.000000,,0.039000,-58003000.000000,236487000.000000,236487000.000000,21891000.000000,-105603000.000000,1.107000,11.487000,438973000.000000,38098000.000000,400875000.000000,438973000.000000,5377000.000000,4348000.000000,133447000.000000,0.000000,0.000000,-105410000.000000,-101062000.000000,-3.792000,-101062000.000000,-105410000.000000,-105494000.000000,-0.067000,-0.067000,-0.067000,62215000.000000,,62215000.000000,3396492576.000000,-10.000000,-10.487000,-122267000.000000,-0.077000,1.000000,4762000.000000,0.179000,0.000000,84000.000000,692829000.000000,,66669000.000000,0.000000,0.000000,0.000000,714654000.000000,286526000.000000,428128000.000000,-8016000.000000,0.000000,1398000.000000,70782000.000000,0.000000,72180000.000000,-15932000.000000,25000000.000000,-64264000.000000,0.000000,-105603000.000000,-105603000.000000,-105603000.000000,0.000000,0.000000,-3.962000,110937000.000000,-106175000.000000,78601000.000000,0.000000,52.916000,-9.625000,-9.569000,433642000.000000,0.000000,2.086000,21.397000,21.403000,11023000.000000,-864871000.000000,26653000.000000,26653000.000000,74854000.000000,,,,,12543000.000000,36083000.000000,1.000000,1578216000.000000,1578636780.000000,1578636780.000000,0.017000,776869000.000000,0.000000,109000.000000,0.000000,0.492000
MRQ,2012-09-30,2012-09-30,2012-09-30,2012-Q3,-101265000.000000,3087063512.000000,2025-04-30,0.000000,809177000.000000,,284541000.000000,524636000.000000,,-0.018000,-62398000.000000,113242000.000000,113242000.000000,58865000.000000,-110804000.000000,0.738000,-30.029000,474514000.000000,54029000.000000,420485000.000000,474514000.000000,5381000.000000,7522000.000000,138338000.000000,0.000000,0.000000,-110610000.000000,-103088000.000000,-2.057000,-103088000.000000,-110610000.000000,-110688000.000000,-0.070000,-0.070000,-0.070000,-27875000.000000,,-27875000.000000,3289549512.000000,-8.000000,-8.981000,-163424000.000000,-0.103000,1.000000,-8761000.000000,-0.175000,0.000000,78000.000000,784643000.000000,,159048000.000000,0.000000,0.000000,0.000000,837052000.000000,385806000.000000,451246000.000000,-124861000.000000,0.000000,7687000.000000,32492000.000000,0.000000,40179000.000000,-64014000.000000,0.000000,-101026000.000000,0.000000,-110804000.000000,-110804000.000000,-110804000.000000,0.000000,0.000000,-2.211000,99699000.000000,-108460000.000000,162025000.000000,0.000000,-110.747000,-7.961000,-7.935000,498037000.000000,0.000000,1.952000,21.101000,21.126000,9164000.000000,-975674000.000000,50104000.000000,50104000.000000,61901000.000000,,,,,12475000.000000,37798000.000000,1.000000,1581487455.000000,1583342430.000000,1583342430.000000,0.032000,809177000.000000,0.000000,116000.000000,0.000000,0.511000
MRQ,2012-12-31,2012-12-31,2012-12-31,2012-Q4,-14340000.000000,3853690158.000000,2025-04-30,0.000000,1114190000.000000,,524768000.000000,589422000.000000,,0.073000,-64053000.000000,226143000.000000,226143000.000000,282475000.000000,-89931000.000000,0.973000,7.935000,466666000.000000,55206000.000000,411460000.000000,466666000.000000,4965000.000000,12792000.000000,138817000.000000,0.000000,0.000000,-90053000.000000,-77261000.000000,-0.252000,-77261000.000000,-90053000.000000,-90079000.000000,-0.052000,-0.052000,-0.052000,124700000.000000,,124700000.000000,4214962158.000000,-11.000000,-11.485000,-99278000.000000,-0.058000,1.000000,23857000.000000,0.078000,0.000000,26000.000000,815605000.000000,,268504000.000000,0.000000,0.000000,0.000000,989490000.000000,539108000.000000,450382000.000000,116197000.000000,0.000000,228303000.000000,-13858000.000000,0.000000,214445000.000000,-60757000.000000,0.000000,-35225000.000000,-2266000.000000,-89931000.000000,-89931000.000000,-89931000.000000,0.000000,0.000000,-0.294000,114740000.000000,-90883000.000000,303382000.000000,0.000000,30.904000,-9.726000,-9.179000,562300000.000000,0.000000,2.258000,9.325000,8.798000,26842000.000000,-1065606000.000000,306332000.000000,306332000.000000,68832000.000000,,,,,14416000.000000,45908000.000000,1.000000,1706682975.000000,1707147480.000000,1707147480.000000,0.179000,1114190000.000000,0.000000,-148000.000000,0.000000,0.653000
